City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-vila,-17.7338,168.3219,24.78,78,100,5.14,VU,1698716132
1,anloga,5.7947,0.8973,27.74,78,23,2.15,GH,1698716320
2,bethel,41.3712,-73.414,10.42,82,100,2.57,US,1698716320
3,laguna,38.421,-121.4238,19.1,37,0,2.06,US,1698716321
4,grytviken,-54.2811,-36.5092,2.96,81,83,2.95,GS,1698716321
5,xianyang,34.3378,108.7026,15.58,82,85,1.0,CN,1698716237
6,enewetak,11.3474,162.3373,27.73,83,100,7.13,MH,1698716322
7,bull savanna,17.8868,-77.5902,25.58,82,70,2.37,JM,1698716322
8,invercargill,-46.4,168.35,17.23,66,100,1.34,NZ,1698716323
9,waitangi,-43.9535,-176.5597,12.49,87,100,12.48,NZ,1698716323
10,otra banda,18.6502,-68.6628,27.36,90,100,1.77,DO,1698716323
11,vernon,50.2581,-119.2691,4.23,66,10,0.51,CA,1698716115
12,aasiaat,68.7098,-52.8699,-10.12,89,29,4.11,GL,1698716324
13,illizi,26.4833,8.4667,24.92,17,0,4.2,DZ,1698716324
14,la passe,45.5549,-0.8967,14.99,84,81,11.35,FR,1698716325
15,hondo,32.45,130.2,18.57,54,0,2.15,JP,1698716325
16,port elizabeth,-33.918,25.5701,14.16,90,0,4.12,ZA,1698716325
17,albany,42.6001,-73.9662,6.47,81,100,0.45,US,1698715731
18,graaff-reinet,-32.2522,24.5308,7.73,91,0,1.06,ZA,1698716326
19,talnakh,69.4865,88.3972,-16.55,96,100,2.2,RU,1698716327
20,scottburgh,-30.2867,30.7532,15.02,88,100,1.65,ZA,1698716327
21,hermanus,-34.4187,19.2345,13.61,80,3,7.99,ZA,1698716327
22,yellowknife,62.456,-114.3525,-1.44,98,40,1.34,CA,1698716119
23,tashla,51.7716,52.7427,3.47,75,100,6.38,RU,1698716328
24,guane,22.2025,-84.0875,24.19,85,8,1.23,CU,1698716328
25,adamstown,-25.066,-130.1015,23.08,75,100,2.96,PN,1698716329
26,south lake tahoe,38.9332,-119.9844,6.65,40,0,0.45,US,1698716329
27,baise city,23.8997,106.6133,24.08,99,100,0.26,CN,1698716330
28,blackmans bay,-43.0167,147.3167,13.18,59,79,1.34,AU,1698716330
29,hawaiian paradise park,19.5933,-154.9731,27.73,84,100,4.63,US,1698716331
30,ushuaia,-54.8,-68.3,3.81,70,75,9.26,AR,1698716065
31,uzgen,40.7699,73.3007,16.16,38,100,1.84,KG,1698716331
32,trevelin,-43.0858,-71.4639,1.71,96,54,1.41,AR,1698716332
33,port alfred,-33.5906,26.891,14.3,79,25,6.68,ZA,1698716332
34,santa marta,11.2408,-74.199,28.27,81,40,3.6,CO,1698716078
35,constitucion,-35.3333,-72.4167,8.73,74,100,5.71,CL,1698716333
36,longyearbyen,78.2186,15.6401,0.91,75,100,3.6,SJ,1698716333
37,morro do chapeu,-11.55,-41.1561,20.8,45,66,3.95,BR,1698716333
38,salalah,17.0151,54.0924,25.05,83,0,2.06,OM,1698716334
39,tiksi,71.6872,128.8694,-20.72,100,81,1.18,RU,1698716334
40,stanley,54.868,-1.6985,7.09,96,75,2.06,GB,1698716334
41,curillo,1.0333,-75.9191,24.12,87,100,1.13,CO,1698716335
42,pacora,9.0833,-79.2833,27.99,100,75,1.03,PA,1698716335
43,edinburgh of the seven seas,-37.0676,-12.3116,13.45,96,100,12.76,SH,1698716336
44,tsaratanana,-16.7833,47.65,23.15,75,5,2.57,MG,1698716336
45,urengoy,65.9667,78.3667,-14.37,97,21,1.79,RU,1698716336
46,atafu village,-8.5421,-172.5159,29.07,73,32,6.52,TK,1698716337
47,iqaluit,63.7506,-68.5145,-12.15,78,75,7.2,CA,1698716337
48,bredasdorp,-34.5322,20.0403,13.49,78,0,5.41,ZA,1698716337
49,margaret river,-33.95,115.0667,18.13,43,78,2.19,AU,1698716338
50,petropavlovsk-kamchatsky,53.0452,158.6483,6.33,62,0,6.0,RU,1698716338
51,kailua-kona,19.6406,-155.9956,29.17,78,0,5.66,US,1698716339
52,koungou,-12.7336,45.2042,25.84,89,0,0.0,YT,1698716339
53,punta arenas,-53.15,-70.9167,4.06,56,0,4.12,CL,1698716339
54,kindu,-2.95,25.95,21.54,98,100,1.16,CD,1698716340
55,port-aux-francais,-49.35,70.2167,3.72,88,100,17.52,TF,1698716340
56,ribeira grande,38.5167,-28.7,19.87,84,50,9.39,PT,1698716340
57,melfort,52.8667,-104.6177,-7.93,62,8,1.54,CA,1698716341
58,asslar,50.5916,8.4627,13.19,92,100,6.22,DE,1698716341
59,klyuchi,52.2667,79.1667,5.63,96,100,2.21,RU,1698716342
60,puerto ayora,-0.7393,-90.3518,23.64,92,100,1.34,EC,1698716342
61,zaozersk,69.4005,32.4476,-6.27,95,100,3.08,RU,1698716343
62,bluefields,12.0137,-83.7635,24.53,94,100,0.82,NI,1698716343
63,nchelenge,-9.3451,28.734,24.09,70,100,2.68,ZM,1698716344
64,saipan,15.1355,145.701,31.39,74,40,5.66,MP,1698716344
65,ulsteinvik,62.3432,5.8487,2.09,66,0,1.34,NO,1698716345
66,saki,8.6667,3.3833,23.92,86,100,1.14,NG,1698716345
67,codrington,-38.2667,141.9667,13.63,51,75,7.34,AU,1698716345
68,hasparren,43.3838,-1.305,17.91,71,75,1.54,FR,1698716346
69,bereznik,62.8551,42.7072,-5.69,88,91,1.08,RU,1698716346
70,smithers,54.7804,-127.1743,-0.82,80,40,1.54,CA,1698716347
71,manas,42.7275,47.6785,17.33,77,1,6.0,RU,1698716347
72,port mathurin,-19.6833,63.4167,24.39,82,30,8.49,MU,1698716348
73,berdigestyakh,62.0989,126.6992,-14.7,91,62,1.37,RU,1698716348
74,olonkinbyen,70.9221,-8.7187,1.8,75,100,5.14,SJ,1698716348
75,tolanaro,-25.0319,46.9987,24.04,88,75,0.0,MG,1698716349
76,nadi,-17.8,177.4167,34.0,52,20,4.63,FJ,1698716350
77,praia da vitoria,38.7333,-27.0667,19.31,82,40,8.07,PT,1698716350
78,thompson,55.7435,-97.8558,-6.91,73,100,2.57,CA,1698716351
79,cockburn town,21.4612,-71.1419,28.66,80,99,6.11,TC,1698716351
80,mahina,-17.5065,-149.489,27.87,74,75,4.12,PF,1698716352
81,howrah,22.5892,88.3103,24.0,88,85,2.57,IN,1698716352
82,hamilton,39.1834,-84.5333,4.84,88,75,3.09,US,1698716072
